29/04/2017, 20:08:10, Temp:26.19, Cisn:100461.83, Wys:74.57, %RH:44.23,
29/04/2017, 20:08:40, Temp:26.62, Cisn:100468.17, Wys:74.02, %RH:51.19,
29/04/2017, 20:55:17, Temp:26.63, Cisn:100473.42, Wys:73.56, %RH:44.50,
29/04/2017, 20:55:17, Temp:26.48, Cisn:100461.78, Wys:74.34, %RH:37.62,
29/04/2017, 20:55:17, Temp:26.37, Cisn:100462.27, Wys:74.53, %RH:37.34,
29/04/2017, 20:55:17, Temp:26.25, Cisn:100461.08, Wys:74.63, %RH:37.78,
29/04/2017, 20:55:17, Temp:26.18, Cisn:100462.88, Wys:74.48, %RH:38.37,
29/04/2017, 20:55:17, Temp:26.12, Cisn:100466.33, Wys:74.65, %RH:39.75,
29/04/2017, 20:55:17, Temp:26.07, Cisn:100468.77, Wys:73.97, %RH:37.31,
29/04/2017, 20:55:17, Temp:26.03, Cisn:100465.57, Wys:74.24, %RH:38.41,
29/04/2017, 20:55:17, Temp:26.01, Cisn:100467.61, Wys:74.54, %RH:39.82,
29/04/2017, 20:55:17, Temp:26.00, Cisn:100468.63, Wys:73.98, %RH:38.81,
29/04/2017, 20:55:17, Temp:25.97, Cisn:100466.31, Wys:74.18, %RH:38.21,
29/04/2017, 20:55:17, Temp:26.08, Cisn:100468.57, Wys:73.98, %RH:43.98,
29/04/2017, 20:55:17, Temp:26.14, Cisn:100475.11, Wys:73.65, %RH:37.66,
29/04/2017, 20:55:17, Temp:26.22, Cisn:100470.42, Wys:74.53, %RH:39.58,
29/04/2017, 20:55:17, Temp:26.18, Cisn:100471.82, Wys:73.70, %RH:40.12,
29/04/2017, 20:55:17, Temp:26.12, Cisn:100480.71, Wys:72.93, %RH:39.36,
29/04/2017, 20:55:17, Temp:26.07, Cisn:100469.58, Wys:73.90, %RH:40.21,
29/04/2017, 20:55:17, Temp:26.02, Cisn:100473.85, Wys:73.76, %RH:39.64,
29/04/2017, 20:55:17, Temp:25.97, Cisn:100477.13, Wys:73.24, %RH:39.05,
29/04/2017, 20:55:17, Temp:25.99, Cisn:100479.64, Wys:73.02, %RH:41.67,
29/04/2017, 20:55:17, Temp:26.02, Cisn:100474.70, Wys:73.45, %RH:39.49,
29/04/2017, 20:55:17, Temp:26.01, Cisn:100483.86, Wys:72.66, %RH:39.56,
29/04/2017, 20:55:17, Temp:26.00, Cisn:100484.05, Wys:72.64, %RH:38.85,
29/04/2017, 20:55:17, Temp:25.97, Cisn:100479.84, Wys:73.01, %RH:39.34,
29/04/2017, 20:55:18, Temp:25.97, Cisn:100487.96, Wys:72.30, %RH:40.18,
29/04/2017, 20:55:18, Temp:25.99, Cisn:100488.61, Wys:72.25, %RH:39.16,
29/04/2017, 20:55:18, Temp:25.99, Cisn:100485.91, Wys:72.72, %RH:39.60,
29/04/2017, 20:55:18, Temp:25.98, Cisn:100484.21, Wys:72.39, %RH:39.92,
29/04/2017, 20:55:18, Temp:25.97, Cisn:100489.82, Wys:72.14, %RH:38.48,
29/04/2017, 20:55:18, Temp:25.96, Cisn:100485.44, Wys:72.52, %RH:39.46,
29/04/2017, 20:55:18, Temp:25.94, Cisn:100487.50, Wys:72.34, %RH:40.18,
29/04/2017, 20:55:18, Temp:25.93, Cisn:100481.24, Wys:72.89, %RH:39.61,
